time,0-3,3-10,10-16,16-3P,3P
1998,28.6,17.8,16.3,21.3,15.9
1999,26.6,18.8,15.5,22.3,16.8
2000,25.6,18.8,16.1,22.8,16.7
2001,27.3,16.8,15.8,23.2,17.0
2002,28.7,14.8,15.3,23.0,18.1
2003,28.6,15.0,14.6,23.6,18.2
2004,29.7,14.7,14.1,22.9,18.7
2005,30.4,13.5,12.9,23.6,19.6
2006,30.9,13.3,11.9,23.6,20.2
2007,31.4,13.1,11.3,22.9,21.3
2008,30.8,12.4,11.1,23.5,22.2
2009,31.4,12.4,11.1,22.7,22.4
2010,32.0,12.9,11.0,21.8,22.2
2011,27.6,17.8,11.0,21.4,22.2
2012,28.7,16.9,11.0,20.8,22.6
2013,29.3,16.4,10.7,19.3,24.3
2014,28.6,16.9,10.5,18.0,25.9
2015,29.0,16.4,10.3,17.5,26.8
2016,29.3,15.8,10.3,16.2,28.5
2017,29.0,15.2,9.90,14.2,31.6
2018,28.1,15.6,10.6,12.0,33.7
2019,29.2,16.2,9.60,9.20,35.9
2020,28.2,16.5,9.30,7.70,38.4
2021,25.4,18.6,9.60,7.20,39.2
2022,24.1,19.4,9.40,7.10,39.9
2023,24.6,20.6,9.70,6.40,38.7
